Date,Open,High,Low,Close,Volume,Name
2005-01-03,82.70438550580702,82.84046033325032,81.5749929870092,81.84713745117188,55748000,SPY
2005-01-04,81.95599031943036,82.01042024921026,80.58166833219258,80.84700775146484,69167600,SPY
2005-01-05,80.78575172285599,81.13273594634326,80.28228798044869,80.28909301757812,65667300,SPY
2005-01-06,80.5816593359347,81.0647132296739,80.45919460296398,80.69731903076172,47814700,SPY
2005-01-07,80.94226188888626,81.1191565748281,80.37075797689111,80.58167266845703,55847700,SPY
2005-01-10,80.51359229194814,81.27559539567221,80.51359229194814,80.96263122558594,56563300,SPY
2005-01-11,80.71771887479922,80.7857536755708,80.27548488370007,80.40475463867188,63099700,SPY
2005-01-12,80.55444528433479,80.85379948663895,79.95572649827994,80.67010498046875,72720500,SPY
2005-01-13,80.71774431449565,80.77897928799521,79.94213592166257,80.0237808227539,55537500,SPY
2005-01-14,80.26191548401893,80.64291468935944,80.11904078201623,80.44561004638672,42032500,SPY
2005-01-18,80.31630963393,81.38447209352259,80.24826964267542,81.28241729736328,57391700,SPY
2005-01-19,81.25520941515026,81.31643918374452,80.42517128049678,80.43197631835938,54378900,SPY
2005-01-20,80.20744750227462,80.41835693509734,79.79923352005673,79.94210815429688,72049300,SPY
2005-01-21,80.13941100944703,80.28228564066663,79.36380290241362,79.4522476196289,63160400,SPY
2005-01-24,79.66318834241746,79.83327799745624,79.1733344961142,79.2957992553711,58441900,SPY
2005-01-25,79.5407321973285,79.92173137998184,79.41146239290343,79.52031707763672,68245000,SPY
2005-01-26,79.81966025536329,80.01015980781409,79.62916070291247,79.75843048095703,57195100,SPY
2005-01-27,79.73120091439917,80.11219994951853,79.58832627622941,79.89448547363281,55878800,SPY
2005-01-28,79.93530531576059,79.97613034861091,79.33659180475551,79.89448547363281,60738900,SPY
2005-01-31,80.24828682735831,80.45239646338575,80.08500223297057,80.39116668701172,52532700,SPY
2005-02-01,80.45238914055717,81.01708791687334,80.35033433183254,80.90142822265625,49841200,SPY
2005-02-02,81.00347239957027,81.36406153421603,80.8946177507729,81.14634704589844,52468900,SPY
2005-02-03,81.00348250569795,81.07152250924828,80.67010828933992,80.9354476928711,48837100,SPY
2005-02-04,80.96264122359163,81.93555384256284,80.94903634091717,81.79948425292969,50024600,SPY
2005-02-07,81.81311568664391,81.99681021133578,81.61581108413854,81.6906509399414,45412000,SPY
2005-02-08,81.75865845726992,82.08523273634,81.69062366309092,81.78587341308594,39263500,SPY
2005-02-09,81.92874395380217,81.9763688264255,81.1327260010743,81.17354583740234,55279400,SPY
2005-02-10,81.4117083774273,81.65663268535523,81.13956391328928,81.46613311767578,45858600,SPY
2005-02-11,81.43889450109644,82.35057741258369,81.27560994632351,82.16687774658203,53133000,SPY
2005-02-14,82.11246452289264,82.2281242157761,81.96958986861485,82.10565948486328,32432100,SPY
2005-02-15,82.18732032547048,82.61594437151993,82.10567542543643,82.41183471679688,43852700,SPY
2005-02-16,82.27576324559459,82.63635246229715,82.09886856148096,82.46626281738281,55523000,SPY
2005-02-17,82.4798425825397,82.54787737735627,81.79267921623139,81.79948425292969,58124000,SPY
2005-02-18,81.80628566456245,81.96957540411391,81.57496631961455,81.90834045410156,47723300,SPY
2005-02-22,81.57495856023534,81.96276257101842,80.6768858410155,80.69049072265625,80697600,SPY
2005-02-23,80.9150527683783,81.35048188005956,80.70414325229896,81.26883697509766,68292600,SPY
2005-02-24,81.125946428771,81.86073485764382,80.94905695534578,81.80630493164062,68563600,SPY
2005-02-25,81.82671033859867,82.77921322817362,81.76548056826813,82.61592864990234,60899900,SPY
